id,subject,topic,difficulty,question,option_1,option_2,option_3,option_4,answer,explanation
450,PSM,Nutrition,4,Which of the following is an 'Essential Fatty Acid'?,Palmitic acid,Stearic acid,Linoleic acid,Oleic acid,Linoleic acid,Linoleic and Linolenic acids cannot be synthesized by the body and must be provided in the diet.
451,PSM,National Health Programs,2,"Under the 'Janani Suraksha Yojana' (JSY), the primary aim is to:",Reduce anemia,Promote institutional deliveries,Provide free food to mothers,Educate girls,Promote institutional deliveries,JSY is a safe motherhood intervention under the NHM providing cash assistance for institutional births.
452,PSM,Biostatistics,3,The 'Incidence' of a disease is 10 per 1000 and the 'Duration' is 5 years. The 'Prevalence' is:,2 per 1000,5 per 1000,50 per 1000,0.5 per 1000,50 per 1000,P = I x D. 10 x 5 = 50 per 1000.
453,PSM,Demography,2,Which state in India currently has the 'Lowest' Infant Mortality Rate?,Kerala,Tamil Nadu,Maharashtra,Goa,Kerala,Kerala consistently leads in health indicators like IMR and Literacy.
454,PSM,Environmental Health,2,The 'Comfort Zone' for air temperature in India is usually:,15-18°C,20-22°C,25-27°C,30-32°C,25-27°C,This range is considered comfortable for most individuals in the Indian climate.
455,PSM,Occupational Health,3,'Bagassosis' is caused by the inhalation of:,Sugarcane dust,Tobacco dust,Grain dust,Hay dust,Sugarcane dust,It is a hypersensitivity pneumonitis caused by dust from moldy sugarcane residue.
456,PSM,Nutrition,1,Kwashiorkor is primarily a deficiency of:,Calories,Proteins,Fats,Carbohydrates,Proteins,Kwashiorkor is protein deficiency with adequate calories. Marasmus is both protein and calorie deficiency.
457,PSM,Epidemiology,2,A study that investigates the 'Effect of Smoking' by comparing people who smoke and those who don't is a:,Descriptive study,Analytical study,Experimental study,Case series,Analytical study,Analytical studies (Cohort/Case-control) test hypotheses by comparing groups.
458,PSM,Contraception,3,Which of the following is a 'Permanent' method of contraception?,Copper-T,Oral Pills,Vasectomy,DMPA,Vasectomy,Vasectomy (male) and Tubectomy (female) are sterilization/permanent methods.
459,PSM,National Health Programs,2,The 'ASHA' worker belongs to the:,Primary Health Center,Sub-center,Village,Community Health Center,Village,ASHA is a village-level health volunteer under the National Health Mission.
460,PSM,Health Planning,1,The 'Mudaliar Committee' (1962) is also known as the:,Health Survey and Development Committee,Health Survey and Planning Committee,Multipurpose Workers Committee,Basic Health Services Committee,Health Survey and Planning Committee,Bhore Committee (1946) is 'Development'; Mudaliar Committee (1962) is 'Planning'.
461,PSM,Environmental Health,4,The 'Biological Oxygen Demand' (BOD) is a measure of:,Air pollution,Organic matter in water,Hardness of water,Radiation levels,Organic matter in water,A high BOD indicates a high level of organic pollution in a water body.
462,PSM,Nutrition,2,Goiter is endemic in a community when the prevalence is more than:,5%,10%,15%,20%,5%,"According to the WHO, if the total goiter rate in school-age children is >5%, it is considered endemic."
463,PSM,Communicable Diseases,3,The 'Screening' of contacts for TB is best done by:,Chest X-ray,Mantoux test,Sputum culture,Sputum smear,Mantoux test,Mantoux is used to screen for latent TB infection among close contacts.
464,PSM,Biostatistics,2,The 'Range' is a measure of:,Central tendency,Dispersion,Correlation,Normalcy,Dispersion,"Range, Variance, and Standard Deviation are measures of how data points vary."
465,PSM,MCH,3,The 'Post-neonatal Mortality' is mainly due to:,Congenital anomalies,Birth injuries,Environment and Nutrition,Prematurity,Environment and Nutrition,Neonatal deaths (0-28 days) are biological/obstetric. Post-neonatal deaths (28 days to 1 year) are social/environmental.
466,PSM,Infections,2,The 'Vaccine Vial Monitor' (VVM) is found on which vaccine vial?,BCG,TT,Polio,DPT,Polio,VVM is essential for heat-sensitive vaccines like OPV to check their potency before use.
467,PSM,National Health Programs,2,"In the 'AB-PMJAY' scheme, the health cover per family per year is:",1 Lakh,2 Lakhs,5 Lakhs,10 Lakhs,5 Lakhs,Ayushman Bharat Pradhan Mantri Jan Arogya Yojana provides 5 lakh coverage for secondary and tertiary care.
468,PSM,Nutrition,4,The 'Protein-Calorie ratio' in a standard diet should be around:,5-10%,10-15%,15-20%,20-25%,10-15%,"Ideally, proteins should contribute 10-15% of the total daily energy intake."
469,PSM,Environmental Health,3,The 'Best' indicator of air pollution in a city is:,Carbon dioxide,Nitrogen dioxide,Sulfur dioxide,Oxygen level,Sulfur dioxide,Sulfur dioxide is a primary indicator of urban air pollution resulting from burning fossil fuels.
470,PSM,Occupational Health,2,The maximum 'Noise Level' allowed for a person working 8 hours a day is:,85 dB,90 dB,95 dB,100 dB,90 dB,90 decibels is the standard occupational exposure limit for an 8-hour shift.
471,PSM,Biostatistics,1,"The 'Mode' of the numbers 2, 3, 3, 4, 5, 5, 5, 6 is:",3,4,5,6,5,Mode is the value that appears most frequently in a dataset.
472,PSM,Epidemiology,3,Which of the following describes 'Recall Bias'?,Selecting people who are healthy,Patients forgetting past exposures,Investigator being aware of the disease,Loss of patients during follow-up,Patients forgetting past exposures,This is a common systemic error in case-control studies.
473,PSM,Health Indicators,2,The 'Human Development Index' (HDI) includes all EXCEPT:,Life expectancy,Mean years of schooling,IMR,GNI per capita,IMR,"HDI is based on Health (Life expectancy), Education, and Living standards (Income)."
474,PSM,National Health Programs,2,"Under the National Program for Control of Blindness, a person is considered 'Blind' if visual acuity is less than:",6/18,6/60,3/60,1/60,3/60,3/60 in the better eye with best possible correction is the threshold for blindness in India.
475,PSM,Demography,3,The 'Census' in India is conducted every:,5 years,10 years,15 years,20 years,10 years,The decennial census is the largest source of demographic data in India.
476,PSM,Communicable Diseases,1,The 'Main reservoir' of infection in Polio is:,Man,Cattle,Mosquito,Water,Man,Polio is a human-only disease with no animal reservoir.
477,PSM,Nutrition,2,The 'Safe' level of Fluoride in drinking water is:,0.5 mg/L,1.0 mg/L,1.5 mg/L,2.0 mg/L,1.0 mg/L,Between 0.5 and 1.0 mg/L prevents dental caries. Higher levels (>1.5) cause fluorosis.
478,PSM,Environment,3,The 'Minimum' contact time for chlorine in water disinfection is:,15 mins,30 mins,60 mins,120 mins,60 mins,60 minutes of contact time is required after adding chlorine before the water is safe to drink.
479,PSM,Contraception,2,The 'Minilap' method of tubectomy is performed during:,Menstruation,Post-partum,Interval period,Pregnancy,Interval period,Minilap is an interval sterilization procedure.
480,PSM,Health Planning,3,The 'Community Health Center' (CHC) covers a population of:,"20,000-30,000","50,000-80,000","80,000-1,20,000","2,00,000","80,000-1,20,000","Sub-center (3-5k), PHC (20-30k), CHC (80-120k)."
481,PSM,Biostatistics,4,Which of the following represents 'Type II Error'?,Rejecting a null hypothesis when it is true,Accepting a null hypothesis when it is false,Failure to calculate p-value,Using wrong test of significance,Accepting a null hypothesis when it is false,Type I Error is the Alpha error; Type II Error is the Beta error.
482,PSM,Communicable Diseases,3,The 'Mass Drug Administration' (MDA) for Lymphatic Filariasis in India uses:,DEC,Albendazole,Both DEC and Albendazole,Ivermectin,Both DEC and Albendazole,A combination of DEC and Albendazole is used annually in endemic areas.
483,PSM,MCH,2,The 'Infant Mortality Rate' (IMR) is calculated per how many live births?,100,"1,000","10,000","1,00,000","1,000","All health indicators except Maternal Mortality are calculated per 1000. MMR is per 1,00,000."
484,PSM,Environmental Health,2,The 'Septic Tank' is a type of:,Aerobic treatment,Anaerobic treatment,Chemical treatment,Thermal treatment,Anaerobic treatment,Purification occurs via anaerobic digestion by bacteria in the tank.
485,PSM,Occupational Health,1,The 'ESI Act' (1948) covers employees earning up to how much per month?,"15,000","21,000","25,000","30,000","21,000","The current salary limit for ESI coverage is ₹21,000 per month."
486,PSM,Nutrition,3,Which of the following vitamins is 'Synthesized' by intestinal bacteria?,Vitamin A,Vitamin B12,Vitamin C,Vitamin K,Vitamin K,"Bacteria in the large intestine synthesize Vitamin K, which is then absorbed by the body."
487,PSM,Demography,4,The 'Demographic Gap' is the difference between:,Male and Female population,Urban and Rural population,Birth rate and Death rate,Literate and Illiterate population,Birth rate and Death rate,The demographic gap determines the rate of natural increase of a population.
488,PSM,Health Indicators,3,A 'High Positive Correlation' between two variables means the coefficient (r) is:,0,-1,+1,+0.5,+1,A correlation coefficient of +1 indicates a perfect positive linear relationship.
489,PSM,National Health Programs,2,"Under the 'NLEP' (National Leprosy Elimination Program), 'Paucibacillary' leprosy treatment lasts for:",6 months,12 months,18 months,24 months,6 months,PB Leprosy = 6 months. MB Leprosy = 12 months.
490,PSM,Communicable Diseases,1,The 'Primary Reservoir' for Rabies in India is:,Bat,Dog,Monkey,Cat,Dog,Stray dogs are responsible for over 95% of rabies cases in India.
491,PSM,Epidemiology,2,Which study design provides the 'Highest Level' of evidence?,Case report,Case-control,Cohort,Systematic Review / Meta-analysis,Systematic Review / Meta-analysis,This sits at the top of the hierarchy of evidence-based medicine.
492,PSM,MCH,4,What is the 'Dose' of Vitamin A given to an infant at 9 months?,"50,000 IU",1 Lakh IU,2 Lakh IU,3 Lakh IU,1 Lakh IU,The first dose at 9 months is 1 lakh IU. All subsequent 8 doses (every 6 months) are 2 lakh IU.
493,PSM,Environmental Health,3,The 'Hardness of Water' is expressed in terms of:,Magnesium sulfate,Calcium carbonate,Sodium chloride,Potassium nitrate,Calcium carbonate,Hardness is measured as mEq/L or mg/L of Calcium Carbonate equivalent.
494,PSM,Biostatistics,2,The 'Middle' value in an ordered set of data is called the:,Mean,Median,Mode,Standard Deviation,Median,Median is the 50th percentile of the data.
495,PSM,Contraception,3,Which of the following is a 'Centchroman' (Non-steroidal pill) provided in the public health system?,Mala-N,Mala-D,Chhaya,Antara,Chhaya,Chhaya is the non-steroidal weekly oral contraceptive pill.
496,PSM,Health Programs,4,The 'Universal Immunization Program' (UIP) was launched in India in:,1975,1978,1985,1995,1985,The UIP was launched in 1985 to cover all districts by 1990.
497,PSM,Nutrition,2,The 'Protein' content of human milk is approximately:,1.1 g/100ml,3.3 g/100ml,5.5 g/100ml,7.7 g/100ml,1.1 g/100ml,Human milk has less protein than cow's milk (3.3g) but it is higher quality (lactalbumin).
498,PSM,Epidemiology,2,The 'Odds Ratio' is the measure of association in:,Cohort study,Case-control study,Cross-sectional study,Clinical trial,Case-control study,Relative Risk is used for Cohort studies; Odds Ratio is the estimation of risk in Case-control studies.
499,PSM,Health Management,3,The 'Inventory Control' method that focuses on the cost of the items is:,ABC analysis,VED analysis,HML analysis,EOQ,ABC analysis,"ABC analysis categorizes items based on annual consumption value (A-high cost, C-low cost)."
500,PSM,Occupational Health,4,Which of the following pneumoconiosis is associated with 'Pleural plaques' and Mesothelioma?,Silicosis,Asbestosis,Siderosis,Farmer's lung,Asbestosis,Inhalation of asbestos fibers is the primary risk factor for malignant mesothelioma of the pleura.
501,PSM,Epidemiology,3,A study starts with a group of 500 smokers and 500 non-smokers who are followed for 10 years to see who develops lung cancer. What is the measure of association used here?,Odds Ratio,Relative Risk,Prevalence Ratio,Attributable Fraction,Relative Risk,This is a cohort study. Relative Risk (RR) is the standard measure of association for prospective studies that follow individuals over time.
502,PSM,Epidemiology,4,"In a clinical trial, 'Double Blinding' is primarily used to eliminate:",Selection bias,Observer and subject bias,Confounding,Recall bias,Observer and subject bias,"Blinding ensures that neither the participant nor the investigator knows who is in the control or experimental group, preventing subjective influence on results."
503,PSM,Biostatistics,2,Which of the following scales is used to measure 'Body Temperature' in Celsius?,Nominal,Ordinal,Interval,Ratio,Interval,Celsius and Fahrenheit are interval scales because they have equal intervals but lack an absolute zero (0°C does not mean 'no heat').
504,PSM,Biostatistics,3,"In a positively skewed distribution, the relationship between Mean, Median, and Mode is:",Mean = Median = Mode,Mean > Median > Mode,Mean < Median < Mode,Median > Mean > Mode,Mean > Median > Mode,"In a right-skewed (positive) distribution, the tail pulls the Mean towards higher values, making it the largest."
505,PSM,National Health Programs,2,The 'NTEP' goal for India is to eliminate Tuberculosis by the year:,2025,2030,2035,2040,2025,"India aims to achieve the 'End TB' targets by 2025, which is five years ahead of the global SDG target of 2030."
506,PSM,Nutrition,3,Which of the following is the best indicator of 'Long-term' nutritional status in a community?,Weight for age,Height for age,Weight for height,Mid-upper arm circumference,Height for age,"Height for age measures 'stunting,' which reflects chronic (long-term) malnutrition."
